TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,faithfulnessAssumed,score,datatype,samplePrior,structurePrior,penaltyDiscount,timeout
1,0,0,0,NA,0,0,52,0,0,1173,50,52,1173,unknown,5,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,12.84,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.921875,0.0413153456998314,0.765625,54,NA,0.6875,0,64,0,44,1117,50,64,1161,unknown,6,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,11.64,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.921875,0.0379426644182125,0.703125,50,NA,0.625,0,64,0,40,1121,50,64,1161,unknown,6,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.72,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.96875,0.0160202360876897,0.296875,21,NA,0.265625,0,64,0,17,1144,50,64,1161,unknown,6,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.99,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
1,0.00421585160202361,0.078125,5,NA,0.078125,0,64,0,5,1156,50,64,1161,unknown,6,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,14.83,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.00168634064080944,0.03125,2,NA,0.03125,0,64,0,2,1159,50,64,1161,unknown,6,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,14.98,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0,0,0,NA,0,0,64,0,0,1161,50,64,1161,unknown,6,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,22.1,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,64,0,0,1161,50,64,1161,unknown,6,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.16,NA,fges,True,sem-bic,continuous,1,1,1,NA
1,0,0,0,NA,0,0,64,0,0,1161,50,64,1161,unknown,6,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,16.63,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.868852459016393,0.0546677880571909,1.0655737704918,73,NA,0.934426229508197,0,61,0,57,1107,50,61,1164,unknown,7,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,33.25,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.868852459016393,0.0513036164844407,1,69,NA,0.868852459016393,0,61,0,53,1111,50,61,1164,unknown,7,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,44.77,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.967213114754098,0.0142977291841884,0.278688524590164,19,NA,0.245901639344262,0,61,0,15,1149,50,61,1164,unknown,7,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,29.43,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.975409836065574,0.00798990748528175,0.155737704918033,11,NA,0.131147540983607,0,61,0,8,1156,50,61,1164,unknown,7,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,14.82,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.000841042893187553,0.0163934426229508,1,NA,0.0163934426229508,0,61,0,1,1163,50,61,1164,unknown,7,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,21.48,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0,0,0,NA,0,0,61,0,0,1164,50,61,1164,unknown,7,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,15.93,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,61,0,0,1164,50,61,1164,unknown,7,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.18,NA,fges,True,sem-bic,continuous,1,1,1,NA
1,0,0,0,NA,0,0,61,0,0,1164,50,61,1164,unknown,7,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.94,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.863636363636364,0.0530679933665008,1.45454545454545,70,NA,1.31818181818182,0,44,0,58,1123,50,44,1181,unknown,8,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,15.89,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.897727272727273,0.0476782752902156,1.30681818181818,62,NA,1.20454545454545,0,44,0,53,1128,50,44,1181,unknown,8,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,13.31,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.954545454545455,0.0232172470978441,0.636363636363636,30,NA,0.590909090909091,0,44,0,26,1155,50,44,1181,unknown,8,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,17.3,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
1,0.00829187396351575,0.227272727272727,10,NA,0.227272727272727,0,44,0,10,1171,50,44,1181,unknown,8,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,15.31,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.0033167495854063,0.0909090909090909,4,NA,0.0909090909090909,0,44,0,4,1177,50,44,1181,unknown,8,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,31.14,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0.00165837479270315,0.0454545454545455,2,NA,0.0454545454545455,0,44,0,2,1179,50,44,1181,unknown,8,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,12.17,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0.000829187396351575,0.0227272727272727,1,NA,0.0227272727272727,0,44,0,1,1180,50,44,1181,unknown,8,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,27.9,NA,fges,True,sem-bic,continuous,1,1,1,NA
1,0,0,0,NA,0,0,44,0,0,1181,50,44,1181,unknown,8,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,9.75,NA,fges,True,sem-bic,continuous,1,1,1.5,NA
0.810344827586207,0.0411073825503356,0.844827586206897,60,NA,0.672413793103448,0.0172413793103448,57,1,39,1128,50,58,1167,unknown,9,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,21.11,NA,fges,True,sem-bic,continuous,1,1,0.001,NA
0.836206896551724,0.0356543624161074,0.732758620689655,52,NA,0.586206896551724,0.0172413793103448,57,1,34,1133,50,58,1167,unknown,9,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,15.32,NA,fges,True,sem-bic,continuous,1,1,0.01,NA
0.879310344827586,0.0201342281879195,0.413793103448276,31,NA,0.310344827586207,0.0172413793103448,57,1,18,1149,50,58,1167,unknown,9,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,9.55,NA,fges,True,sem-bic,continuous,1,1,0.1,NA
0.913793103448276,0.011744966442953,0.241379310344828,19,NA,0.172413793103448,0.0172413793103448,57,1,10,1157,50,58,1167,unknown,9,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,42.2,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.956896551724138,0.00461409395973154,0.0948275862068965,8,NA,0.0689655172413793,0.0172413793103448,57,1,4,1163,50,58,1167,unknown,9,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,8.64,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.956896551724138,0.0037751677852349,0.0775862068965517,7,NA,0.0517241379310345,0.0172413793103448,57,1,3,1164,50,58,1167,unknown,9,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,10.79,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.956896551724138,0.0037751677852349,0.0775862068965517,7,NA,0.0517241379310345,0.0172413793103448,57,1,3,1164,50,58,1167,unknown,9,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=10000/standardized=True,10.37,NA,fges,True,sem-bic,continuous,1,1,1,NA
