TPR_pattern,FPR_pattern,FPRn_pattern,SHD_pattern,SHD_cpdag,FPR_skel,FNR_skel,TP_skel,FN_skel,FP_skel,TN_skel,n_nodes,true_n_edges_skel,true_n_non_edges_skel,graph_type,replicate,algorithm,adjmat,parameters,data,time,ntests,id,faithfulnessAssumed,score,datatype,samplePrior,structurePrior,penaltyDiscount,timeout
0.87962962962963,0.00961538461538462,0.212962962962963,18,NA,0.148148148148148,0.0555555555555556,51,3,8,1163,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.1,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0.00418060200668896,0.0925925925925926,5,NA,0.0925925925925926,0,54,0,5,1166,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,5.43,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.51063829787234,0.14030131826742,0.792553191489362,241,NA,0.718085106382979,0.414893617021277,110,78,135,902,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,11.91,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
0.694148936170213,0.176553672316384,0.997340425531915,245,NA,0.925531914893617,0.234042553191489,144,44,174,863,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,14.79,NA,fges,True,sem-bic,continuous,1,1,0.25,NA
1,0,0,0,NA,0,0,10,0,0,35,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.39,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0,0,0,NA,0,0,10,0,0,35,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.16,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.5,0.807692307692308,0.283783783783784,29,NA,0.0810810810810811,0.297297297297297,26,11,3,5,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.81,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.581081081081081,1.11538461538462,0.391891891891892,30,NA,0.108108108108108,0.135135135135135,32,5,4,4,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.9,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0,0,0,NA,0,0,23,0,0,167,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.03,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0,0,0,NA,0,0,23,0,0,167,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,4.49,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.465753424657534,0.275590551181102,0.479452054794521,74,NA,0.424657534246575,0.479452054794521,38,35,31,86,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,8.28,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.657534246575342,0.425196850393701,0.73972602739726,79,NA,0.616438356164384,0.219178082191781,57,16,45,72,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,7.27,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.87962962962963,0.00627090301003344,0.138888888888889,14,NA,0.0925925925925926,0.0740740740740741,50,4,5,1166,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,6.73,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0.00250836120401338,0.0555555555555556,3,NA,0.0555555555555556,0,54,0,3,1168,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,6.28,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.452127659574468,0.115819209039548,0.654255319148936,226,NA,0.595744680851064,0.48936170212766,96,92,112,925,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,11.81,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
0.670212765957447,0.133709981167608,0.75531914893617,204,NA,0.691489361702128,0.265957446808511,138,50,130,907,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,13.44,NA,fges,True,sem-bic,continuous,1,1,0.5,NA
1,0,0,0,NA,0,0,10,0,0,35,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,4.5,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,10,0,0,35,10,10,35,unknown,1,tetrad_fges,gcastle_dag/p=10/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,5.91,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.513513513513513,0.923076923076923,0.324324324324324,30,NA,0.135135135135135,0.297297297297297,26,11,5,3,10,37,8,unknown,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.47,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.581081081081081,0.961538461538462,0.337837837837838,28,25,0.108108108108108,0.189189189189189,30,7,4,4,10,37,8,dag,1,tetrad_fges,gcastle_dag/p=10/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,2.78,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.91304347826087,0.00564971751412429,0.0434782608695652,3,NA,0.0434782608695652,0.0869565217391304,21,2,1,166,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,3.61,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0,0,0,NA,0,0,23,0,0,167,20,23,167,unknown,1,tetrad_fges,gcastle_dag/p=20/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,3.96,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.438356164383562,0.259842519685039,0.452054794520548,74,NA,0.397260273972603,0.506849315068493,36,37,29,88,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,5.89,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.623287671232877,0.381889763779528,0.664383561643836,76,NA,0.547945205479452,0.26027397260274,54,19,40,77,20,73,117,unknown,1,tetrad_fges,gcastle_dag/p=20/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,9.24,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.833333333333333,0.00501672240802676,0.111111111111111,15,NA,0.0555555555555556,0.111111111111111,48,6,3,1168,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,7.77,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
1,0.00167224080267559,0.037037037037037,2,NA,0.037037037037037,0,54,0,2,1169,50,54,1171,unknown,1,tetrad_fges,gcastle_dag/p=50/d=1/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=1000/standardized=True,7.23,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
0.353723404255319,0.105932203389831,0.598404255319149,234,NA,0.50531914893617,0.553191489361702,84,104,95,942,50,188,1037,unknown,1,tetrad_fges,gcastle_dag/p=50/d=4/method=er,gcastle_sem/min=0.5/max=2.0,gcastle_iidsim/method=linear/sem_type=gumbel/noise_scale=1.0/n=200/standardized=True,10.72,NA,fges,True,sem-bic,continuous,1,1,0.75,NA
